time_s,D1_m,D2_m,D3_m
2.669999999999999929e+00,3.432043798056869793e-03,-5.131787595985042120e-05,-5.237254088520059119e-04
2.680000000000000160e+00,3.888275076681905681e-03,-6.148969889944173699e-04,-9.132844281674783529e-04
2.689999999999999947e+00,4.292409142877835933e-03,-1.164193904228434965e-03,-1.215394414127056715e-03
2.700000000000000178e+00,4.624730537157756283e-03,-1.695896900025833714e-03,-1.420221543366882461e-03
2.709999999999999964e+00,4.863487913501074802e-03,-2.210109817345080538e-03,-1.530597823784289341e-03
2.720000000000000195e+00,4.988365120412176570e-03,-2.707030508653679966e-03,-1.558056778807815051e-03
2.729999999999999982e+00,4.983243811994029354e-03,-3.184349190201879367e-03,-1.518811082160339415e-03
2.740000000000000213e+00,4.838589821659204128e-03,-3.635108426546792854e-03,-1.429740465188590430e-03
2.750000000000000000e+00,4.553969383502956547e-03,-4.045582455064348007e-03,-1.304287322219203904e-03
2.759999999999999787e+00,4.138759696271324985e-03,-4.395146121480481873e-03,-1.150511113140355920e-03
2.770000000000000018e+00,3.608771068331122212e-03,-4.660363492213140738e-03,-9.736086054503061485e-04
2.779999999999999805e+00,2.980195112221190393e-03,-4.821724733886940256e-03,-7.811657385498744751e-04
